,Model,dataset,Replacement Strategy,accuracy,time,features
312,Linear Regression,chanceadmit,Separate models,99.5250208,4.731346369,7
313,Linear Regression,chanceadmit,Uniform,99.12935505,0.0004057426357,7
314,Linear Regression,chanceadmit,Zero,86.91839960271895,1.515686512e-05,7
315,Linear Regression,computer,Conditional,98.90821829,0.007606,7
316,Linear Regression,computer,Copula,98.90821816,0.006753,7
317,Linear Regression,computer,Gaussian,98.90821823,0.007789,7
318,Linear Regression,computer,Marginal,98.90821807,0.041009975515000005,7
319,Linear Regression,computer,Mean,98.87023904,1.480278761e-05,7
321,Linear Regression,computer,Separate models,99.90821807,3.76371026,7
322,Linear Regression,computer,Uniform,98.90979346,0.00016939029489999998,7
323,Linear Regression,computer,Zero,86.91839960271895,1.440836036e-05,7
324,Linear Regression,diamond,Marginal,99.32668472,0.020560046404999997,7
325,Linear Regression,diamond,Conditional,99.8371589,0.012207,7
326,Linear Regression,diamond,Copula,99.83715888,0.012844,7
327,Linear Regression,diamond,Gaussian,99.83715889,0.012569,7
328,Linear Regression,diamond,Mean,99.79047715,1.638234023e-05,7
330,Linear Regression,diamond,Separate models,99.98725231,9.581949949,7
331,Linear Regression,diamond,Uniform,99.41938964,0.0006796970962999999,7
332,Linear Regression,diamond,Zero,86.91839960271895,1.5217759390000001e-05,7
333,Linear Regression,france,Marginal,99.72668472,0.019060046405,7
334,Linear Regression,france,Conditional,99.96071071,0.011699,7
335,Linear Regression,france,Copula,99.96071071,0.012754,7
336,Linear Regression,france,Gaussian,99.96011068,0.012879,7
337,Linear Regression,france,Mean,99.46282525,1.585196726e-05,7
339,Linear Regression,france,Separate models,99.77194397,3.815410137,7
340,Linear Regression,france,Uniform,98.03935277,0.0006804378366,7
341,Linear Regression,france,Zero,86.91839960271895,1.5759590899999998e-05,7
342,Linear Regression,germany,Marginal,99.72668472,0.019660046405,7
343,Linear Regression,germany,Conditional,99.88591865,0.01217,7
344,Linear Regression,germany,Copula,99.32591865,0.010728,7
345,Linear Regression,germany,Gaussian,99.31591865,0.0128,7
346,Linear Regression,germany,Mean,99.80591865,1.606642839e-05,7
348,Linear Regression,germany,Separate models,99.99899187,9.688322544,7
