,Model,dataset,Replacement Strategy,accuracy,time,features
347,Neural network,france,Marginal,99.79739201,0.0006245,7
348,Neural network,france,Conditional,99.79739201,0.011377,7
349,Neural network,france,Gaussian,99.79739203,0.013506,7
350,Neural network,france,Copula,99.79739206,0.011979,7
351,Neural network,germany,Separate models,99.99993868,3339.812831,7
352,Neural network,germany,Zero,76.14115240874268,2.914603551e-05,7
353,Neural network,germany,Mean,99.98629423,2.805801594e-05,7
355,Neural network,germany,Uniform,76.14115240874268,0.002610761578,7
356,Neural network,germany,Marginal,99.9694456,0.0006456,7
357,Neural network,germany,Conditional,99.96944559,0.012113,7
358,Neural network,germany,Gaussian,99.96944562,0.014001,7
359,Neural network,germany,Copula,99.96944562,0.012474,7
360,Neural network,raotbl6,Separate models,99.93664036,859.1375086,7
361,Neural network,raotbl6,Zero,76.14115240874268,3.060410662e-05,7
362,Neural network,raotbl6,Mean,99.51283701,0.0007852942769,7
364,Neural network,raotbl6,Uniform,76.14115240874268,0.001153425874,7
365,Neural network,raotbl6,Marginal,99.96247124,0.00031895000000000003,7
366,Neural network,raotbl6,Conditional,99.96247125,0.007327,7
367,Neural network,raotbl6,Gaussian,99.96247122,0.006362,7
368,Neural network,raotbl6,Copula,99.96247124,0.006318,7
369,Neural network,raotbl7,Separate models,99.4660166,545.6648896,7
370,Neural network,raotbl7,Zero,76.14115240874268,2.995869009e-05,7
371,Neural network,raotbl7,Mean,99.42682118,2.994764142e-05,7
373,Neural network,raotbl7,Uniform,76.14115240874268,0.001160992681,7
374,Neural network,raotbl7,Marginal,99.51948532,0.00032125000000000003,7
375,Neural network,raotbl7,Conditional,99.51948537,0.00635,7
376,Neural network,raotbl7,Gaussian,99.5194853,0.007847,7
377,Neural network,raotbl7,Copula,99.51948544,0.012296,7
378,Neural network,realestate,Separate models,99.98033136,764.1600871,7
379,Neural network,realestate,Zero,76.14115240874268,2.9140789139999998e-05,7
380,Neural network,realestate,Mean,76.14115240874268,2.822000615e-05,7
382,Neural network,realestate,Uniform,76.14115240874268,0.003171758597,7
383,Neural network,realestate,Marginal,99.9992707,0.00052175,7
384,Neural network,realestate,Conditional,99.99927071,0.009269,7
385,Neural network,realestate,Gaussian,99.99927075,0.009861,7
386,Neural network,realestate,Copula,99.99927071,0.014969,7
387,Neural network,slump,Separate models,99.68278456,555.5343535,7
388,Neural network,slump,Zero,76.14115240874268,3.063208917e-05,7
389,Neural network,slump,Mean,83.19790341,2.870531643e-05,7
391,Neural network,slump,Uniform,76.14115240874268,0.00037846622050000003,7
392,Neural network,slump,Marginal,99.39251468,0.00032035,7
393,Neural network,slump,Conditional,99.39251468,0.007174,7
394,Neural network,slump,Gaussian,99.39251448,0.00784,7
395,Neural network,slump,Copula,99.39251464,0.006341,7
396,Neural network,slump-flow,Separate models,98.51604861,1001.612079,7
397,Neural network,slump-flow,Zero,76.14115240874268,3.096875022e-05,7
398,Neural network,slump-flow,Mean,98.19023518,2.9534662469999998e-05,7
400,Neural network,slump-flow,Uniform,76.14115240874268,0.0001449266602,7
401,Neural network,slump-flow,Marginal,98.35801493,0.00032525,7
402,Neural network,slump-flow,Conditional,98.35801498,0.006303,7
403,Neural network,slump-flow,Gaussian,98.35801489,0.006129,7
404,Neural network,slump-flow,Copula,98.3580149,0.010528,7
405,Neural network,slump-mpa,Separate models,99.96671753,506.5879352,7
406,Neural network,slump-mpa,Zero,76.14115240874268,2.993941307e-05,7
407,Neural network,slump-mpa,Mean,98.63724559,0.0006398753559,7
409,Neural network,slump-mpa,Uniform,76.14115240874268,0.0009050839577999999,7
410,Neural network,slump-mpa,Marginal,99.94850601,0.0003125,7
411,Neural network,slump-mpa,Conditional,99.94850601,0.008338,7
412,Neural network,slump-mpa,Gaussian,99.94850596,0.006107,7
413,Neural network,slump-mpa,Copula,99.94850595,0.006338,7
414,Neural network,wholesale,Separate models,98.5960733,965.7802997,7
415,Neural network,wholesale,Zero,76.14115240874268,2.747418129e-05,7
416,Neural network,wholesale,Mean,69.31393055,2.7336715020000003e-05,7
418,Neural network,wholesale,Uniform,76.14115240874268,0.00137024183,7
419,Neural network,wholesale,Marginal,98.05573828,0.0004313,7
420,Neural network,wholesale,Conditional,98.05573804,0.008095,7
421,Neural network,wholesale,Gaussian,98.05573951,0.009926,7
422,Neural network,wholesale,Copula,98.05573856,0.008765,7
423,Neural network,californiahousing,Separate models,99.36747558,20530.16131,8
424,Neural network,californiahousing,Zero,76.14115240874268,3.187461333e-05,8
425,Neural network,californiahousing,Mean,99.72096125,0.0002628854405,8
427,Neural network,californiahousing,Uniform,76.14115240874268,0.00771254009,8
428,Neural network,californiahousing,Marginal,99.52593728,0.00080205,8
429,Neural network,californiahousing,Conditional,99.52593733,0.0138,8
430,Neural network,californiahousing,Gaussian,99.52593963,0.016272,8
431,Neural network,californiahousing,Copula,99.52593724,0.018591,8
432,Neural network,cms,Separate models,99.91817388,2935.107668,8
433,Neural network,cms,Zero,76.14115240874268,3.271374558e-05,8
434,Neural network,cms,Mean,50.09971373,3.1285293170000005e-05,8
436,Neural network,cms,Uniform,76.14115240874268,0.0077408199450000005,8
437,Neural network,cms,Marginal,99.60988888,0.0010538000000000001,8
438,Neural network,cms,Conditional,99.6098889,0.014685,8
439,Neural network,cms,Gaussian,99.60988797,0.017847,8
440,Neural network,cms,Copula,99.60988887,0.017974,8
441,Neural network,concrete,Separate models,99.91817388,2890.226338,8
442,Neural network,concrete,Zero,76.14115240874268,3.216099739e-05,8
443,Neural network,concrete,Mean,50.09971373,0.00036454619059999996,8
445,Neural network,concrete,Uniform,76.14115240874268,0.007718368015,8
446,Neural network,concrete,Marginal,99.60988888,0.00111085,8
447,Neural network,concrete,Conditional,99.6098889,0.013037,8
448,Neural network,concrete,Gaussian,99.60988797,0.016515,8
449,Neural network,concrete,Copula,99.60988887,0.017172,8
450,Neural network,crab,Separate models,99.8372562,7549.906752,8
451,Neural network,crab,Zero,76.14115240874268,3.544805267e-05,8
452,Neural network,crab,Mean,99.38211808,3.727639083e-05,8
454,Neural network,crab,Uniform,76.14115240874268,0.008396638467,8
455,Neural network,crab,Marginal,99.09955161,0.00080915,8
456,Neural network,crab,Conditional,99.09955173,0.015187,8
457,Neural network,crab,Gaussian,99.09955153,0.01639,8
458,Neural network,crab,Copula,99.09955195,0.0179,8
459,Neural network,cust,Separate models,99.95935146,2793.63913,8
460,Neural network,cust,Zero,76.14115240874268,3.181492307e-05,8
461,Neural network,cust,Mean,97.60696926,3.111370093e-05,8
463,Neural network,cust,Uniform,76.14115240874268,0.008063453043000001,8
464,Neural network,cust,Marginal,99.88692592,0.0007626,8
465,Neural network,cust,Conditional,99.88692591,0.01428,8
466,Neural network,cust,Gaussian,99.8869258,0.015155,8
467,Neural network,cust,Copula,99.88692591,0.016245,8
468,Neural network,diabetes,Separate models,99.88434768,2711.567796,8
469,Neural network,diabetes,Zero,76.14115240874268,3.1812932549999996e-05,8
470,Neural network,diabetes,Mean,62.92174455,3.147000403e-05,8
472,Neural network,diabetes,Uniform,87.32638389,0.006281378775000001,8
473,Neural network,diabetes,Marginal,99.90447343,0.0007106,8
474,Neural network,diabetes,Conditional,99.90447342,0.013035,8
475,Neural network,diabetes,Gaussian,99.90447326,0.01641,8
476,Neural network,diabetes,Copula,99.90447352,0.015616,8
477,Neural network,energy_cool,Separate models,99.63248529,2395.740337,8
478,Neural network,energy_cool,Zero,76.14115240874268,3.246564565e-05,8
479,Neural network,energy_cool,Mean,88.20177802,2.964228157e-05,8
481,Neural network,energy_cool,Uniform,76.14115240874268,0.007799415431,8
482,Neural network,energy_cool,Marginal,99.59621256,0.0007045,8
483,Neural network,energy_cool,Conditional,99.59621259,0.011548,8
484,Neural network,energy_cool,Gaussian,99.59621252,0.014313,8
485,Neural network,energy_cool,Copula,99.59621247,0.015161,8
486,Neural network,energy_heat,Separate models,99.69915198,4813.820536,8
487,Neural network,energy_heat,Zero,76.14115240874268,3.145306129e-05,8
488,Neural network,energy_heat,Mean,92.33225654,3.079127139e-05,8
490,Neural network,energy_heat,Uniform,76.14115240874268,0.007792391918,8
491,Neural network,energy_heat,Marginal,99.68929451,0.0011737,8
492,Neural network,energy_heat,Conditional,99.68929454,0.012855,8
493,Neural network,energy_heat,Gaussian,99.68929449,0.014965,8
