,Model,dataset,Replacement Strategy,accuracy,time,features
195,Random Forest,aiRandom Forestoil-self-noise,Conditional,99.92101828,0.019937,5
196,Random Forest,aiRandom Forestoil-self-noise,Gaussian,99.92101815,0.009395,5
197,Random Forest,aiRandom Forestoil-self-noise,Copula,99.92101827,0.017125,5
198,Random Forest,japanemg,Separate models,85.17902776,230.4131877,5
199,Random Forest,japanemg,Zero,41.40786882,0.0002305084705,5
200,Random Forest,japanemg,Mean,91.00425137,0.000224576664,5
202,Random Forest,japanemg,Uniform,66.55326437,0.0011394770780000002,5
203,Random Forest,japanemg,Marginal,86.16467178,0.0002918,5
204,Random Forest,japanemg,Conditional,86.16467211,0.004935,5
205,Random Forest,japanemg,Gaussian,86.16467184,0.004716,5
206,Random Forest,japanemg,Copula,86.16466953,0.008188,5
207,Random Forest,linnerud,Separate models,90.42631703,107.6733944,5
208,Random Forest,linnerud,Zero,99.53249425,0.00020942228180000002,5
209,Random Forest,linnerud,Mean,96.51546145,0.000219448294,5
211,Random Forest,linnerud,Uniform,80.74691386,0.0005858219691999999,5
212,Random Forest,linnerud,Marginal,89.94342413,0.00027505,5
213,Random Forest,linnerud,Conditional,89.94343014,0.004848,5
214,Random Forest,linnerud,Gaussian,89.94342611,0.004413,5
215,Random Forest,linnerud,Copula,89.94342534,0.00515,5
216,Random Forest,sacramento,Separate models,99.72477053,425.65172,5
217,Random Forest,sacramento,Zero,63.14194044,0.0002485362764,5
218,Random Forest,sacramento,Mean,99.71137091,0.0002839578568,5
220,Random Forest,sacramento,Uniform,86.52602576,0.02756165531,5
221,Random Forest,sacramento,Marginal,99.74492048,0.00045979999999999995,5
222,Random Forest,sacramento,Conditional,99.74492049,0.009508,5
223,Random Forest,sacramento,Gaussian,99.7449202,0.009632,5
224,Random Forest,sacramento,Copula,99.74492046,0.010383,5
225,Random Forest,uber,Separate models,99.54732602,84291.70097,5
226,Random Forest,uber,Zero,99.90408246,0.00034531147909999996,5
227,Random Forest,uber,Mean,83.2893807,0.0003347499212,5
228,Random Forest,uber,Uniform,99.55106605,0.07821975054000001,5
230,Random Forest,uber,Marginal,99.5690272,0.00046550000000000004,5
231,Random Forest,uber,Conditional,99.56902726,0.009783,5
232,Random Forest,uber,Gaussian,99.56903436,0.010486,5
233,Random Forest,uber,Copula,99.56902745,0.010542,5
234,Random Forest,insurance,Separate models,99.10076405,1035.068499,6
235,Random Forest,insurance,Zero,80.63903293457246,0.0003253733707,6
236,Random Forest,insurance,Mean,58.99998383,0.0003288424514,6
238,Random Forest,insurance,Uniform,74.55794502,0.039170390480000004,6
239,Random Forest,insurance,Marginal,98.91091304,0.00043924999999999997,6
240,Random Forest,insurance,Conditional,98.91091304,0.009897,6
241,Random Forest,insurance,Gaussian,98.91091322,0.010546,6
242,Random Forest,insurance,Copula,98.9109124,0.018806,6
243,Random Forest,kiva,Separate models,99.91818501,1491.55706,6
244,Random Forest,kiva,Zero,80.63903293457246,0.00034737766730000004,6
245,Random Forest,kiva,Mean,80.63903293457246,0.0003556948655,6
247,Random Forest,kiva,Uniform,80.63903293457246,0.04873310884,6
248,Random Forest,kiva,Marginal,99.43703079,0.00043759999999999996,6
249,Random Forest,kiva,Conditional,99.43703076,0.008562,6
250,Random Forest,kiva,Gaussian,99.43703089,0.009128,6
251,Random Forest,kiva,Copula,99.43703071,0.02241,6
252,Random Forest,powerlifting,Separate models,99.44019576,10025.0569,6
253,Random Forest,powerlifting,Zero,80.63903293457246,0.00035783344619999996,6
254,Random Forest,powerlifting,Mean,97.63698136,0.0003881315499,6
256,Random Forest,powerlifting,Uniform,54.76840591,0.1035786109,6
257,Random Forest,powerlifting,Marginal,99.07117712,0.0004484,6
258,Random Forest,powerlifting,Conditional,99.07117714,0.010399,6
259,Random Forest,powerlifting,Gaussian,99.07117716,0.010366,6
260,Random Forest,powerlifting,Copula,99.07117712,0.019334,6
261,Random Forest,seeds,Separate models,99.34372504,319.1816435,6
262,Random Forest,seeds,Zero,80.63903293457246,0.0002876245975,6
263,Random Forest,seeds,Mean,74.47411114,0.0002928311306,6
265,Random Forest,seeds,Uniform,80.63903293457246,0.005371750172,6
266,Random Forest,seeds,Marginal,99.34853575,0.0003427,6
267,Random Forest,seeds,Conditional,99.34853603,0.006426,6
268,Random Forest,seeds,Gaussian,99.34853603,0.007389,6
269,Random Forest,seeds,Copula,99.34853592,0.00619,6
270,Random Forest,walmart,Separate models,99.61942265,5851.38925,6
271,Random Forest,walmart,Zero,80.63903293457246,0.0002942049048,6
272,Random Forest,walmart,Mean,72.9385777,0.00031740459380000003,6
274,Random Forest,walmart,Uniform,80.63903293457246,0.049014482549999995,6
275,Random Forest,walmart,Marginal,99.9703545,0.0004908499999999999,6
276,Random Forest,walmart,Conditional,99.97035451,0.010137,6
277,Random Forest,walmart,Gaussian,99.97035442,0.008751,6
278,Random Forest,walmart,Copula,99.97035448,0.010573,6
279,Random Forest,yatch,Separate models,98.75652724,462.5080135,6
280,Random Forest,yatch,Zero,51.16599149,0.0002976601217,6
281,Random Forest,yatch,Mean,74.49817004,0.0002812228857,6
283,Random Forest,yatch,Uniform,83.91943854,0.01439818331,6
284,Random Forest,yatch,Marginal,98.74885182,0.00031985,6
285,Random Forest,yatch,Conditional,98.7488518,0.006429,6
286,Random Forest,yatch,Gaussian,98.74885228,0.006822,6
287,Random Forest,yatch,Copula,98.74885202,0.012464,6
288,Random Forest,admission,Separate models,97.12341325,886.3095288,7
289,Random Forest,admission,Zero,80.63903293457246,0.0003338720278,7
290,Random Forest,admission,Mean,89.86386477,0.0003442946333,7
292,Random Forest,admission,Uniform,80.63903293457246,0.017573998060000002,7
293,Random Forest,admission,Marginal,96.9996405,0.0004428,7
294,Random Forest,admission,Conditional,96.99964126,0.009601,7
295,Random Forest,admission,Gaussian,96.99964131,0.007446,7
296,Random Forest,admission,Copula,96.99964136,0.01024,7
297,Random Forest,auto-mpg,Separate models,99.51673227,1698.184683,7
298,Random Forest,auto-mpg,Zero,80.63903293457246,0.0003392826979,7
299,Random Forest,auto-mpg,Mean,94.56965577,0.0003381610999,7
301,Random Forest,auto-mpg,Uniform,80.63903293457246,0.02142552755,7
302,Random Forest,auto-mpg,Marginal,99.49579812,0.00044669999999999996,7
303,Random Forest,auto-mpg,Conditional,99.49579825,0.008357,7
304,Random Forest,auto-mpg,Gaussian,99.49579838,0.008813,7
305,Random Forest,auto-mpg,Copula,99.4957982,0.014783,7
306,Random Forest,autompg,Separate models,99.51673227,1702.520315,7
307,Random Forest,autompg,Zero,80.63903293457246,0.0003338358274,7
308,Random Forest,autompg,Mean,94.56965577,0.00034136987280000003,7
310,Random Forest,autompg,Uniform,80.63903293457246,0.0213791847,7
311,Random Forest,autompg,Marginal,99.49579812,0.00046154999999999997,7
312,Random Forest,autompg,Conditional,99.49579825,0.007918,7
313,Random Forest,autompg,Gaussian,99.49579838,0.008503,7
314,Random Forest,autompg,Copula,99.4957982,0.014243,7
315,Random Forest,chanceadmit,Separate models,99.76347667,1661.888326,7
316,Random Forest,chanceadmit,Zero,80.63903293457246,0.0003187091585,7
317,Random Forest,chanceadmit,Mean,83.18944852,0.00034418511030000004,7
319,Random Forest,chanceadmit,Uniform,80.63903293457246,0.012874446369999999,7
320,Random Forest,chanceadmit,Marginal,99.72825787,0.0004363,7
321,Random Forest,chanceadmit,Conditional,99.72825798,0.008388,7
322,Random Forest,chanceadmit,Gaussian,99.72825802,0.007569,7
323,Random Forest,chanceadmit,Copula,99.72825802,0.008859,7
324,Random Forest,computer,Separate models,99.61755066,1478.661773,7
325,Random Forest,computer,Zero,57.34320507,0.0003269088337,7
326,Random Forest,computer,Mean,91.92043778,0.0003238220664,7
328,Random Forest,computer,Uniform,80.63903293457246,0.008007657455,7
329,Random Forest,computer,Marginal,99.73346078,0.00034055,7
330,Random Forest,computer,Conditional,99.7334609,0.007065,7
331,Random Forest,computer,Gaussian,99.73346096,0.00873,7
332,Random Forest,computer,Copula,99.73346082,0.007095,7
333,Random Forest,diamond,Separate models,99.99682899,2458.191053,7
334,Random Forest,diamond,Zero,80.63903293457246,0.0003866199407,7
335,Random Forest,diamond,Mean,98.04799898,0.0003980081385,7
337,Random Forest,diamond,Uniform,89.80778828,0.10407744719999999,7
338,Random Forest,diamond,Marginal,99.96173556,0.0006148,7
339,Random Forest,diamond,Conditional,99.96173557,0.011787,7
340,Random Forest,diamond,Gaussian,99.9617356,0.012128,7
341,Random Forest,diamond,Copula,99.96173554,0.012518,7
342,Random Forest,france,Separate models,99.86047718,8874.921689,7
343,Random Forest,france,Zero,80.63903293457246,0.00036357659860000003,7
344,Random Forest,france,Mean,53.8891826,0.0003693489942,7
346,Random Forest,france,Uniform,80.63903293457246,0.08906111382000001,7
347,Random Forest,france,Marginal,99.53577179,0.0006368999999999999,7
348,Random Forest,france,Conditional,99.53577188,0.010349,7
