,Approximation,Model,Dataset,Accuracy,Time,Features
288,CES,svm,yatch,99.67219067,5.515925319,6
576,CES,svm,energy,99.67212066,5.479260713,9
577,Cohort,svm,energy,99.67212066,5.479260713,9
468,CES,svm,cust,91.77822262,5.361572181,8
469,Cohort,svm,cust,91.77822262,5.361572181,8
343,Cohort,svm,diamond,99.81179939,5.238638452,7
342,CES,svm,diamond,99.81179939,5.238638452,7
361,Cohort,svm,germany,96.62043837,5.226346504,7
360,CES,svm,germany,96.62043837,5.226346504,7
352,Cohort,svm,france,78.33386527,5.179792927,7
351,CES,svm,france,78.33386527,5.179792927,7
182,Exhaustive,svm,unemploy,97.71703779,5.152873993,4
541,Cohort,svm,cancer,99.90436132,5.00041035,9
540,CES,svm,cancer,99.90436132,5.00041035,9
242,SGDShapley,svm,uber,-1233.848824,4.959110178,5
495,CES,svm,energy_heat,99.99646998,4.917195789,8
496,Cohort,svm,energy_heat,99.99646998,4.917195789,8
774,CES,svm,forest,99.91676379,4.873423132,12
775,Cohort,svm,forest,99.91676379,4.873423132,12
486,CES,svm,energy_cool,99.99920621,4.855265974,8
487,Cohort,svm,energy_cool,99.99920621,4.855265974,8
784,Cohort,svm,forestfire,99.86886231,4.837329425,12
783,CES,svm,forestfire,99.86886231,4.837329425,12
477,CES,svm,diabetes,99.83473616,4.826967833,8
478,Cohort,svm,diabetes,99.83473616,4.826967833,8
398,Exhaustive,svm,slump,99.9029475,4.685025454,7
882,CES,svm,housing,94.46414261,4.607876819,13
883,Cohort,svm,housing,94.46414261,4.607876819,13
900,CES,svm,mba,99.71739708,4.543289699,13
901,Cohort,svm,mba,99.71739708,4.543289699,13
865,Cohort,svm,boston,95.71350836,4.477637865,13
864,CES,svm,boston,95.71350836,4.477637865,13
261,CES,svm,powerlifting,99.99703711,4.433329694,6
262,Cohort,svm,powerlifting,99.99703711,4.433329694,6
65,Exhaustive,svm,spx,99.96026403,4.229765654,3
119,Exhaustive,svm,diamonds_filter,98.889784,3.978970528,4
234,CES,svm,uber,76.8735777,3.817157792,5
235,Cohort,svm,uber,76.8735777,3.817157792,5
297,CES,svm,admission,98.4942961,3.635482042,7
435,IME,svm,californiahousing,99.80472057,3.567549799,8
92,Exhaustive,svm,blood,99.65495854,3.494425774,4
266,MLE,svm,powerlifting,98.57599388,3.424901828,6
163,Cohort,svm,power,66.32162247,3.307469117,4
162,CES,svm,power,66.32162247,3.307469117,4
793,Cohort,svm,heartfailure,96.99386641,2.853133084,12
792,CES,svm,heartfailure,96.99386641,2.853133084,12
874,Cohort,svm,heart_disease,99.91510957,2.792890562,13
873,CES,svm,heart_disease,99.91510957,2.792890562,13
264,IME,svm,powerlifting,98.45088609,2.701363716,6
324,CES,svm,chanceadmit,99.96125724,2.528634442,7
518,MLE,svm,rentals,99.77827791,2.416340256,8
424,Cohort,svm,wholesale,99.70710097,2.384701432,7
423,CES,svm,wholesale,99.70710097,2.384701432,7
388,Cohort,svm,realestate,99.35759513,2.270537505,7
387,CES,svm,realestate,99.35759513,2.270537505,7
802,Cohort,svm,ozone,98.76671029,2.205187986,12
801,CES,svm,ozone,98.76671029,2.205187986,12
298,Cohort,svm,admission,99.88553153,2.202542519,7
137,Exhaustive,svm,economics,97.71703779,2.100087166,4
693,CES,svm,migration,93.46151699,2.05291086,11
694,Cohort,svm,migration,93.46151699,2.05291086,11
363,IME,svm,germany,99.62710406,2.044165792,7
18,CES,svm,brainweight,98.41592786,1.986941398,3
19,Cohort,svm,brainweight,98.41592786,1.986941398,3
516,IME,svm,rentals,99.69726751,1.973264498,8
837,CES,svm,stockreturn,99.98855309,1.889029276,12
838,Cohort,svm,stockreturn,99.98855309,1.889029276,12
29,Exhaustive,svm,chickweight,99.34464458,1.813171148,3
325,Cohort,svm,chanceadmit,99.97529495,1.685932147,7
847,Cohort,svm,stockrisk,99.48611432,1.669632689,12
846,CES,svm,stockrisk,99.48611432,1.669632689,12
271,Cohort,svm,seeds,97.01026962,1.64777801,6
270,CES,svm,seeds,97.01026962,1.64777801,6
81,CES,svm,advertising,97.23340548,1.579495954,4
82,Cohort,svm,advertising,97.23340548,1.579495954,4
72,CES,svm,advertisements,97.28442814,1.567364122,4
354,IME,svm,france,99.32582955,1.531441228,7
38,Exhaustive,svm,htwtindex,98.11590826,1.466921568,3
47,Exhaustive,svm,jewellery,99.7303376,1.454095602,3
896,MLE,svm,income,99.79388538,1.450185986,13
685,Cohort,svm,hybrid,90.03699147,1.388740759,11
684,CES,svm,hybrid,90.03699147,1.388740759,11
770,MLE,svm,bikehourly,99.30693722,1.355314714,12
824,MLE,svm,seoulbike,99.6689921,1.354735872,12
284,MLE,svm,walmart,98.8311536,1.272707776,6
894,IME,svm,income,99.6824825,1.227410584,13
334,Cohort,svm,computer,99.92929555,1.222978865,7
333,CES,svm,computer,99.92929555,1.222978865,7
558,CES,svm,country-data,99.65299481,1.204889242,9
559,Cohort,svm,country-data,99.65299481,1.204889242,9
289,Cohort,svm,yatch,98.90943922,1.191213914,6
635,MLE,svm,poker,96.68815057,1.143279214,10
671,MLE,svm,telescope,99.34625994,1.143253244,10
822,IME,svm,seoulbike,99.58462107,1.140343873,12
768,IME,svm,bikehourly,99.29657903,1.137417012,12
345,IME,svm,diamond,99.32089472,1.134246588,7
750,IME,svm,adult,99.68222835,1.120385966,12
370,Cohort,svm,raotbl6,99.70727183,1.109483981,7
369,CES,svm,raotbl6,99.70727183,1.109483981,7
436,KernelSHAP,svm,californiahousing,99.98357803,1.106982724,8
617,MLE,svm,abalone,99.89230995,1.103290552,10
552,IME,svm,casp,99.50509447,1.090801995,9
815,MLE,svm,pumpkinseed,99.88004616,1.089150901,12
633,IME,svm,poker,96.75260299,1.080720673,10
255,IME,svm,kiva,99.59785493,1.077023089,6
858,IME,svm,wine,99.75726146,1.069780475,12
828,CES,svm,servo,85.7580361,1.057413106,12
829,Cohort,svm,servo,85.7580361,1.057413106,12
265,KernelSHAP,svm,powerlifting,98.7103557,1.029698631,6
282,IME,svm,walmart,98.73277824,0.9751996719,6
741,IME,svm,winequality-white,98.11700813,0.9598177036,11
669,IME,svm,telescope,99.30920913,0.9377763488,10
813,IME,svm,pumpkinseed,99.77187793,0.9099617113,12
615,IME,svm,abalone,99.76981094,0.9082426945,10
56,Exhaustive,svm,questions,99.92447809,0.9075980186,3
54,CES,svm,questions,99.83347457,0.897767801,3
55,Cohort,svm,questions,99.83347457,0.897767801,3
608,MLE,svm,precip,99.7942489,0.8851398685,9
761,MLE,svm,airquality,99.72137517,0.8770735546,12
462,IME,svm,crab,99.15623191,0.8276288126,8
588,IME,svm,friedman,99.20483797,0.824984091,9
606,IME,svm,precip,99.72852982,0.8074771599,9
525,IME,svm,wage,99.83291343,0.8071241379,8
405,CES,svm,slump-flow,99.92471447,0.7686309253,7
415,Cohort,svm,slump-mpa,99.89423849,0.7644935776,7
414,CES,svm,slump-mpa,99.89423849,0.7644935776,7
759,IME,svm,airquality,99.74027522,0.7159648505,12
725,MLE,svm,winequality,99.63185498,0.7096547806,11
734,MLE,svm,winequality-red,99.06177471,0.7038572774,11
378,CES,svm,raotbl7,98.50089958,0.674265059,7
379,Cohort,svm,raotbl7,98.50089958,0.674265059,7
144,CES,svm,iris,96.83971543,0.6667425394,4
145,Cohort,svm,iris,96.83971543,0.6667425394,4
723,IME,svm,winequality,99.77737133,0.6396135858,11
649,Cohort,svm,possumchest,99.51495467,0.6164151532,10
648,CES,svm,possumchest,99.51495467,0.6164151532,10
440,SGDShapley,svm,californiahousing,96.88648344,0.6104199756,8
658,Cohort,svm,spending,99.5136495,0.6073024137,10
657,CES,svm,spending,99.5136495,0.6073024137,10
269,SGDShapley,svm,powerlifting,99.84300287,0.6055776069,6
639,CES,svm,possumbelly,98.04972793,0.600800269,10
640,Cohort,svm,possumbelly,98.04972793,0.600800269,10
570,IME,svm,employee,98.14454717,0.590109172,9
517,KernelSHAP,svm,rentals,99.89910763,0.5888081659,8
83,Exhaustive,svm,advertising,97.27439883,0.5704498291,4
5,MLE,svm,3droad,99.46354017,0.5648854248,3
732,IME,svm,winequality-red,99.24957511,0.5608813741,11
716,MLE,svm,telecom,99.79894297,0.5543411724,11
73,Cohort,svm,advertisements,94.96021243,0.5541246624,4
826,Parametric KernelSHAP,svm,seoulbike,-19.23424293,0.534673,12
862,Parametric KernelSHAP,svm,wine,-71.78552026,0.533692,12
595,Cohort,svm,glass,99.84666802,0.5217672234,9
594,CES,svm,glass,99.84666802,0.5217672234,9
817,Parametric KernelSHAP,svm,pumpkinseed,-1041364.669,0.514956,12
895,KernelSHAP,svm,income,99.88110367,0.4984548179,13
772,Parametric KernelSHAP,svm,bikehourly,53.26230867,0.489318,12
406,Cohort,svm,slump-flow,99.20363306,0.4826519419,7
20,Exhaustive,svm,brainweight,98.42908244,0.473856926,3
680,MLE,svm,bikedaily,99.58095364,0.46836136,11
248,MLE,svm,insurance,99.88087028,0.4682273894,6
364,KernelSHAP,svm,germany,99.83878394,0.4659011378,7
