,Approximation,Model,Dataset,Accuracy,Time,Features
825,CES,xg,bikedaily,99.94845348,6.10433176,11
539,CES,xg,cms,99.93999115,6.086574677,8
540,Cohort,xg,cms,99.93999115,6.086574677,8
639,Cohort,xg,wage,99.9988892,6.081456814,8
638,CES,xg,wage,99.9988892,6.081456814,8
551,Cohort,xg,concrete,99.94000196,6.062549226,8
550,CES,xg,concrete,99.94000196,6.062549226,8
627,CES,xg,rentals,99.90970364,6.047631516,8
628,Cohort,xg,rentals,99.90970364,6.047631516,8
705,Cohort,xg,energy,99.67212066,5.479260713,9
704,CES,xg,energy,99.67212066,5.479260713,9
573,Cohort,xg,cust,91.77822262,5.361572181,8
572,CES,xg,cust,91.77822262,5.361572181,8
418,CES,xg,diamond,99.81179939,5.238638452,7
419,Cohort,xg,diamond,99.81179939,5.238638452,7
441,Cohort,xg,germany,96.62043837,5.226346504,7
440,CES,xg,germany,96.62043837,5.226346504,7
430,Cohort,xg,france,78.33386527,5.179792927,7
429,CES,xg,france,78.33386527,5.179792927,7
661,Cohort,xg,cancer,99.90436132,5.00041035,9
660,CES,xg,cancer,99.90436132,5.00041035,9
605,CES,xg,energy_heat,99.99646998,4.917195789,8
606,Cohort,xg,energy_heat,99.99646998,4.917195789,8
957,CES,xg,forest,99.91676379,4.873423132,12
958,Cohort,xg,forest,99.91676379,4.873423132,12
594,CES,xg,energy_cool,99.99920621,4.855265974,8
595,Cohort,xg,energy_cool,99.99920621,4.855265974,8
968,CES,xg,forestfire,99.86886231,4.837329425,12
969,Cohort,xg,forestfire,99.86886231,4.837329425,12
583,CES,xg,diabetes,99.83473616,4.826967833,8
584,Cohort,xg,diabetes,99.83473616,4.826967833,8
1101,Cohort,xg,housing,94.46414261,4.607876819,13
1100,CES,xg,housing,94.46414261,4.607876819,13
1122,CES,xg,mba,99.71739708,4.543289699,13
1123,Cohort,xg,mba,99.71739708,4.543289699,13
1068,Cohort,xg,boston,95.71350836,4.477637865,13
1067,CES,xg,boston,95.71350836,4.477637865,13
320,Cohort,xg,powerlifting,99.99703711,4.433329694,6
319,CES,xg,powerlifting,99.99703711,4.433329694,6
298,Cohort,xg,insurance,99.69976625,4.42595371,6
297,CES,xg,insurance,99.69976625,4.42595371,6
342,Cohort,xg,walmart,99.7228673,4.378158983,6
341,CES,xg,walmart,99.7228673,4.378158983,6
308,CES,xg,kiva,99.70670359,4.369124905,6
309,Cohort,xg,kiva,99.70670359,4.369124905,6
242,CES,xg,airfoil-self-noise,96.9739304,3.831541285,5
243,Cohort,xg,airfoil-self-noise,96.9739304,3.831541285,5
232,Cohort,xg,airfoil,96.97485808,3.823495728,5
231,CES,xg,airfoil,96.97485808,3.823495728,5
287,Cohort,xg,uber,76.8735777,3.817157792,5
286,CES,xg,uber,76.8735777,3.817157792,5
275,CES,xg,sacramento,98.4430882,3.57749929,5
