,Model,Algorithm,Dataset,MSE,R2,Time
4388,logr,SGD,movie_data,2101.3055999999897,98.77407008063936,0.13607152462005614
4389,logr,SGD,cars,79.76337693222357,84.05596965260214,0.1800652427234869
4390,logr,SGD,uforeports,103452.28959999997,65.20867139684216,0.11624443292617798
4391,logr,SGD,monk-3,0.1764,67.98268720674479,0.11965275526046754
4392,logr,SGD,ecoli,3.4225,95.51499562894146,0.11574186801910401
4393,svm,SGD,Housing_Data,0.0036000000000000073,93.61702127659574,0.21245746374130248
4394,svm,SGD,melb_data,5887.492899999994,82.64257863823774,0.12954377889633178
4395,svm,SGD,echocardiogram,0.11621900826446283,87.6184829636671,0.12501672181216153
4396,svm,SGD,Car_sales,14.352440828402383,82.41732850677091,0.12508950783656195
4397,svm,SGD,monk-1,0.20249999999999993,89.0909901294738,0.11986306190490723
4398,svm,SGD,glass,0.00317397341797265,99.80535279805352,0.12294546651168609
4399,svm,SGD,connect-4,0.00040000000000000034,97.95918367346938,0.12664484977722168
4400,svm,SGD,auto-mpg,0.3136,97.43808654588318,0.18176745414733886
4401,svm,SGD,drug200,0.1012396694214876,67.4758843150765,0.11756960550944011
4402,svm,SGD,healthcare-dataset-stroke-data,0.01000000000000001,88.88888888888887,0.12036919355392456
4403,svm,SGD,nursery,0.24010000000000012,84.50867797922446,0.11595655202865601
4404,svm,SGD,nba_logreg,118576.92249999996,86.93287956040643,0.13176230907440187
4405,svm,SGD,hr-evaluation,0.0,100.0,0.12458699941635132
4406,svm,SGD,seismic-bumps,0.0,100.0,0.133993501663208
4407,svm,SGD,breast-cancer,0.018725761772853185,84.14634146341463,0.12149799999437834
4408,svm,SGD,covertype,0.05289999999999985,92.18726923644958,0.1380337405204773
4409,svm,SGD,Salaries,0.1296000000000001,88.42330731736968,0.11320417881011963
4410,svm,SGD,diabetes,0.0676,64.86486486486487,0.12076661825180053
4411,svm,SGD,audiology,24.20640000000002,67.96847434788144,0.1783783181508382
4412,svm,SGD,deliveries,2.3103999999999973,87.55815957263485,0.20508076906204223
4413,svm,SGD,heart-c,0.12250000000000001,76.83152647554199,0.12677238941192626
4414,svm,SGD,churn,0.0001,98.98989898989899,0.1326640725135803
4415,svm,SGD,vote,0.14440000000000003,92.4699093501474,0.20412545442581176
4416,svm,SGD,results,0.3673094582185514,99.67467508173789,0.11537129228765314
4417,svm,SGD,sonar,0.2722117202268432,86.15637730147012,0.17441002873406894
4418,svm,SGD,SacramentocrimeJanuary2006,5658403.987599998,99.03662522549894,0.10990308523178101
4419,svm,SGD,v3_Latest_Data_Science_Salaries,20.7936,82.94577712456038,0.14221418142318726
4420,svm,SGD,insurance,0.16809999999999994,78.1461319229825,0.1193686842918396
4421,svm,SGD,wine,0.0071818442976156315,98.77450980392157,0.12162445763410148
4422,svm,SGD,hungarian-heart-disease,0.14254477301124527,79.8438357550924,0.12456051914059386
4423,svm,SGD,laptop_price,3.8808999999999996,67.08060835856851,0.11748425960540772
4424,svm,SGD,pima-indians-diabetes,0.04839999999999997,96.132949824225,0.11669745922088623
4425,svm,SGD,tic-tac-toe,0.0144,86.36363636363636,0.12111124753952027
4426,svm,SGD,adult,0.019600000000000003,83.72093023255813,0.19091398000717164
4427,svm,SGD,Titanic_Test,1186.6837098692035,96.71947433588612,0.11795467343823664
4428,svm,SGD,Data_Preprocessing,1.7777777777777743,85.40871363061038,0.2154078483581543
4429,svm,SGD,haberman,0.004900000000000005,92.47311827956989,0.11503018856048584
4430,svm,SGD,ElectronicsData,20.702500000000008,77.0761438523795,0.1135175895690918
4431,svm,SGD,500_Person_Gender_Height_Weight_Index,0.019599999999999996,83.72093023255815,0.11531853914260864
4432,svm,SGD,births,0.17640000000000008,78.27270960103209,0.11624605417251586
4433,svm,SGD,airports,435.41777777777787,90.1010194649862,0.12534653345743815
4434,svm,SGD,credit-g,0.03999999999999998,75.00000000000003,0.13378574848175048
4435,svm,SGD,lymphography,0.23990004164931295,70.75003790118575,0.12478017320438307
4436,svm,SGD,Cust_Segmentation,36.0,94.97240860685756,0.11821855783462525
4437,svm,SGD,flag,1.1268639053254437,96.97241453490942,0.13678710644061748
4438,svm,SGD,drug_dt,0.10123966942148763,78.75167168070449,0.11843160788218181
4439,svm,SGD,cylinder-bands,0.09000000000000005,78.0090996759686,0.1464913558959961
4440,svm,SGD,Data_Uk,20104.404099999996,74.80840102203408,0.18692057609558105
4441,svm,SGD,heart-statlog,0.2177777777777777,81.69695945576065,0.1251704004075792
4442,svm,SGD,phoneme,0.0784,61.11111111111109,0.19136445999145507
4443,svm,SGD,Churn_Modelling,364260.5315999998,85.63008981647484,0.21639939308166503
4444,svm,SGD,wilt,0.0016000000000000025,95.83333333333333,0.11719059467315673
4445,svm,SGD,airport-frequencies,3444030.7561000013,94.29198241681424,0.109804208278656
4446,svm,SGD,magic,0.10239999999999994,76.23124756871822,0.12456932067871093
4447,svm,SGD,sales-records,2.5281,62.20126901778161,0.12189524412155152
4448,svm,SGD,hayes-roth,0.11621900826446288,81.66259168704156,0.11251569877971303
4449,svm,SGD,housing,0.8100000000000003,66.13048466274242,0.12177126884460449
4450,svm,SGD,segment,4.84,65.52484133987416,0.12474262714385986
4451,svm,SGD,monk-2,0.010000000000000004,88.88888888888889,0.11795565605163574
4452,svm,SGD,autos,0.9708044982698972,93.84284026029444,0.13718578044105978
4453,svm,SGD,FuelConsumption,52.27289999999998,62.43742072911387,0.19439244985580445
4454,svm,SGD,cleveland,0.4225,66.66666666666667,0.19912600994110108
4455,svm,SGD,Titanic_Data,234.44127922601476,91.06120453167735,0.13624695089996838
4456,svm,SGD,employees,8333.8641,75.14029483414095,0.18278084754943846
4457,svm,SGD,Mall_Customers,0.03879706152433423,75.47169811320757,0.11837940143816399
4458,svm,SGD,50_Startups,0.8858131487889274,85.1849185673085,0.11306355981265798
