,Model,Replacement,Dataset,MSE,R2,Time
2458,dt,Uniform,wine,0.004596380350474003,99.24098671726756,0.15911449012109788
2459,dt,Uniform,hungarian-heart-disease,0.09371095376926283,98.85527993537696,0.14322971081247135
2460,dt,Uniform,laptop_price,8.122499999999997,64.79673697002887,0.15493263244628908
2461,dt,Uniform,pima-indians-diabetes,2.958399999999999,73.50788253048017,0.14709634304046632
2462,dt,Uniform,tic-tac-toe,0.3721,81.59467533424348,0.1474781584739685
2463,dt,Uniform,adult,0.0576,68.42105263157896,0.1601358485221863
2464,dt,Uniform,Titanic_Test,49.00000000000003,73.72411242603549,0.14423323499745336
2465,dt,Uniform,Data_Preprocessing,0.0,100.0,0.21469696362813315
2466,dt,Uniform,haberman,0.022500000000000006,82.35294117647058,0.14092496395111084
2467,dt,Uniform,ElectronicsData,8.352099999999997,79.6279809453655,0.1644942593574524
2468,dt,Uniform,500_Person_Gender_Height_Weight_Index,0.19359999999999997,84.52745073500559,0.14665900707244872
2469,dt,Uniform,births,0.33640000000000003,70.59113981213805,0.14215773344039917
2470,dt,Uniform,airports,10.671111111111095,86.04394326900723,0.1558871587117513
2471,dt,Uniform,credit-g,0.052899999999999975,70.12987012987016,0.15686524391174317
2472,dt,Uniform,lymphography,0.10662224073302777,64.6408839779006,0.16015165679308832
2473,dt,Uniform,Cust_Segmentation,44.890000000000036,75.87771663831926,0.13866533041000367
2474,dt,Uniform,flag,1.3313609467455616,87.79442699570896,0.176729154586792
2475,dt,Uniform,drug_dt,0.1111111111111112,77.58114280184944,0.15664668516679245
2476,dt,Uniform,cylinder-bands,0.3844000000000001,98.12041835208578,0.16478503227233887
2477,dt,Uniform,Data_Uk,0.1763999999999962,99.99886966142823,0.1579656171798706
2478,dt,Uniform,heart-statlog,0.18777777777777768,77.85187750781162,0.1506668011347453
2479,dt,Uniform,phoneme,0.08409999999999998,71.56080542047636,0.14706056356430053
2480,dt,Uniform,Churn_Modelling,271784.9689,67.35301261861638,0.15704055547714232
2481,dt,Uniform,wilt,0.0009000000000000006,96.90721649484536,0.14354259967803956
2482,dt,Uniform,airport-frequencies,5679022.6249,67.61685165787992,0.1355334234237671
2483,dt,Uniform,magic,0.12959999999999994,85.70295634170222,0.1494990587234497
2484,dt,Uniform,sales-records,0.022499999999999916,99.50522264980759,0.15587114810943603
